"Country","CountName","Ara","For","Mea","Oth"
"TON",NA,43.056,12.431,5.556,38.958
"TTO",NA,9.162,44.563,1.365,44.91
"TUN",NA,32.138,4.513,30.574,32.774
"TUR",NA,30.013,28.669,18.992,22.326
"TUV",NA,60,33.333,0,6.667
"TZA",NA,17.668,52.172,27.094,3.066
"UGA",NA,45.382,11.865,26.506,16.247
"UKR",NA,58.297,16.714,13.003,10.984
"URY",NA,11.696,11.484,68.564,8.256
"USA",NA,17.539,33.867,26.824,21.77
"UZB",NA,10.072,8.316,47.935,33.677
"VAT",NA,0,0,0,100
"VCT",NA,12.821,73.18,5.128,8.872
"VEN",NA,3.741,52.46,20.634,23.165
"VGB",NA,13.333,24.133,33.333,29.2
"VIR",NA,3.143,56.457,6.286,34.114
"VNM",NA,37.476,46.477,2.048,13.999
"VUT",NA,11.895,36.284,3.445,48.376
"WLD",NA,11.942,31.227,24.528,32.126
"WLF",NA,42.857,41.643,0,15.5
"WSM",NA,22.473,57.297,4.276,15.954
"YEM",NA,2.75,1.04,41.669,54.541
"ZAF",NA,10.233,14.085,69.185,6.497
"ZMB",NA,5.16,60.537,26.904,7.4
"ZWE",NA,10.598,45.213,31.278,12.91
