Year,Group,Sample,SampID,GSample,Drain,Zone,ZoneSimp,Type,Type2,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
2019,4,1,2019_4_1,4_1,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400375,6468287,115.9462441,-31.91693495,0,12.5,5,6.9,0.2158,1015,NA,NA,NA,1015,11530,2.84,45.1,798,0.023,14.9,1.8,22.2,93.7,32507,NA,1.9,1554,9,7.1,810,50,2.93,354,6.8,5,114,70.9,NA,2276,NA,9,9.1,NA,31.7,1.6,30.1
2019,4,2,2019_4_2,4_2,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400365,6468278,115.9461374,-31.91701526,0,12.5,5,6.8,1.01,37500,500,NA,NA,38000,20311,15.86,31.1,1780,0.906,23.1,10.9,45.2,172.6,60516,NA,2.79,1431,12.6,14.3,2343,52,4.57,1436,10.9,12.5,449,70.8,NA,12418,NA,22,14.2,NA,90.9,4.6,514.7
2019,4,3,2019_4_3,4_3,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400342,6468255,115.9458918,-31.91722071,0,12.5,5,5.43,0.5434,39800,NA,NA,NA,39800,11397,13.9,16.3,861,0.74,24.1,13.6,20.4,206.9,35730,NA,2.37,697,11.5,9,1249,36,3.3,1911,10.4,9.7,233,67.9,NA,9509,NA,12,6.6,NA,26.1,5.1,419.6
2019,4,4,2019_4_4,4_4,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400326,6468241,115.9457212,-31.91734559,0,12.5,5,6.6,0.47,59113,500,NA,NA,59613,15019,2.75,66.9,709,0.069,26,4.1,23,26.3,18919,NA,1.98,971,12.1,13.3,1203,36,3.5,1274,11,5.5,139,25.8,NA,1495,NA,18,9.4,NA,32.9,4.2,57
2019,4,5,2019_4_5,4_5,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400303,6468218,115.9454756,-31.91755104,0,12.5,5,7,1.385,980,980,NA,NA,1960,23689,3.26,77.8,952,0.049,26.4,4.6,51.4,24.2,37176,NA,2.7,1814,13.5,22.4,2356,50,6.55,2793,11.7,9,92,11.4,NA,1356,NA,26,19.8,NA,80,4.5,39.7
2019,4,6,2019_4_6,4_6,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400271,6468185,115.9451337,-31.91784591,0,12.5,5,6.64,0.902,3003,NA,NA,NA,3003,30298,2.44,45,1501,0.103,88.7,8.6,50.4,36.2,38361,NA,6.34,2377,41.2,28.3,2425,90,2.87,3453,34.4,17.4,288,28,NA,5956,NA,24,14.6,NA,63.2,20.8,102.9
2019,4,7,2019_4_7,4_7,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400220,6468133,115.944589,-31.91831049,0,12.5,5,6,1.86,NA,NA,NA,NA,NA,26873,26.16,55.4,2809,1.411,43.8,21.6,43.1,522.6,70016,NA,4.47,1431,21.5,24.1,3169,86,4.8,6490,19.5,21.9,1265,207.4,NA,13010,NA,41,10.9,NA,62,11.5,1134.6
2019,4,8,2019_4_8,4_8,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400188,6468103,115.9442475,-31.91857829,0,12.5,5,6.18,2.268,42288,NA,NA,NA,42288,18427,4.23,45,1370,0.335,24.3,6.1,34.5,183.6,25410,NA,2.01,1244,12.9,18.8,2041,51,3.02,3988,9.9,11,513,61.5,NA,5310,NA,27,12,NA,44.1,4.7,249.7
2019,6,1,2019_6_1,6_1,Chapman,NA,NA,Lake_Sed,Lake_Sed,400328,6468226,115.9457408,-31.91748107,0,10,5,6.19,3.44,4988,2993,1995,NA,9976,37034,13.84,157.6,3257,0.202,203.9,10.9,56,417.7,48343,NA,12.47,3009,94.4,43.7,4908,74,3.16,16320,70.3,25.1,1872,472.8,NA,5184,NA,239,10.8,NA,65.2,46.2,257.3
2019,6,2,2019_6_2,6_2,Chapman,NA,NA,Lake_Sed,Lake_Sed,400336,6468228,115.9458256,-31.91746374,0,10,5,6.15,3.008,4978,996,NA,NA,5974,36701,4.37,78.1,1584,0.079,126.3,9,66.6,127.4,36526,NA,7.79,2797,59.8,29.7,4555,65,0.9,12143,45.9,24.3,478,90.8,NA,1719,NA,48,19.9,NA,69.3,26.6,138.7
