Depth_[m],Depth_top_[m],Depth_bot_[m],Mode,D50,Grain_size_mean,Sort,Q90,Q99,F_0.06,F_0.07,F_0.08,F_0.09,F_0.11,F_0.13,F_0.15,F_0.17,F_0.2,F_0.23,F_0.27,F_0.31,F_0.36,F_0.42,F_0.49,F_0.58,F_0.67,F_0.78,F_0.91,F_1.06,F_1.24,F_1.44,F_1.68,F_1.95,F_2.28,F_2.65,F_3.09,F_3.6,F_4.19,F_4.88,F_5.69,F_6.63,F_7.72,F_9,F_10.48,F_12.21,F_14.22,F_16.57,F_19.31,F_22.49,F_26.2,F_30.53,F_35.56,F_41.43,F_48.27,F_56.23,F_65.51,F_76.32,F_88.91,F_103.58,F_120.67,F_140.58,F_163.77,F_190.8,F_222.28,F_258.95,F_301.68,F_351.46,F_409.45,F_477.01,F_555.71,F_647.41,F_754.23,F_878.67
0.348,0.345,0.35,81.81,51.06,63.21,2.18,149.92,310.78,0,0,0,0.01,0.01,0.02,0.05,0.08,0.14,0.2,0.28,0.33,0.35,0.34,0.32,0.31,0.28,0.27,0.29,0.31,0.35,0.4,0.46,0.52,0.59,0.67,0.75,0.83,0.91,0.98,1.05,1.12,1.2,1.31,1.46,1.64,1.87,2.15,2.47,2.83,3.23,3.67,4.15,4.64,5.14,5.58,5.94,6.21,6.41,6.09,5.47,4.64,3.68,2.75,1.93,1.31,0.87,0.57,0.38,0.18,0,0,0,0
0.375,0.372,0.377,31.76,16.66,24.68,2.51,65.45,139.37,0,0,0.01,0.02,0.03,0.06,0.1,0.17,0.25,0.35,0.45,0.53,0.55,0.54,0.52,0.5,0.47,0.47,0.52,0.58,0.67,0.79,0.93,1.1,1.31,1.55,1.81,2.09,2.36,2.62,2.85,3.06,3.25,3.44,3.63,3.84,4.07,4.3,4.52,4.7,4.81,4.87,4.89,4.69,4.36,3.92,3.41,2.85,2.28,1.74,1.27,0.89,0.6,0.32,0.04,0,0,0,0,0,0,0,0,0
0.38,0.377,0.382,36.46,19.8,28.2,2.45,73.54,177.81,0,0,0,0.01,0.02,0.04,0.07,0.13,0.21,0.31,0.41,0.5,0.53,0.52,0.5,0.48,0.45,0.44,0.48,0.53,0.61,0.71,0.83,0.98,1.15,1.35,1.58,1.81,2.03,2.25,2.45,2.64,2.83,3.04,3.27,3.54,3.85,4.18,4.5,4.79,5,5.12,5.16,5.15,4.84,4.39,3.83,3.22,2.6,2.02,1.5,1.08,0.76,0.54,0.4,0.26,0.11,0,0,0,0,0,0,0
0.458,0.455,0.46,30.92,13.35,22.13,2.62,61.93,157.55,0,0,0.01,0.01,0.03,0.05,0.1,0.17,0.27,0.39,0.51,0.61,0.65,0.65,0.63,0.61,0.59,0.59,0.65,0.72,0.83,0.97,1.13,1.33,1.56,1.84,2.14,2.45,2.76,3.05,3.31,3.53,3.7,3.84,3.93,4.01,4.07,4.13,4.18,4.22,4.24,4.24,4.22,4.05,3.77,3.37,2.88,2.35,1.85,1.41,1.07,0.82,0.64,0.46,0.28,0.11,0,0,0,0,0,0,0,0
0.468,0.465,0.47,5.19,5.1,8.85,2.21,26.28,74.87,0,0,0.01,0.02,0.04,0.08,0.16,0.27,0.43,0.64,0.85,1.02,1.1,1.09,1.08,1.07,1.05,1.08,1.24,1.43,1.69,2.02,2.4,2.83,3.32,3.83,4.34,4.79,5.16,5.38,5.44,5.35,5.1,4.75,4.29,3.77,3.25,2.82,2.48,2.23,2.05,1.9,1.75,1.58,1.36,1.1,0.83,0.58,0.37,0.22,0.12,0.08,0.06,0.05,0.04,0.02,0,0,0,0,0,0,0,0
0.488,0.485,0.49,39.53,21.25,28.96,2.48,72.92,133.63,0,0,0,0.01,0.02,0.05,0.08,0.15,0.23,0.35,0.46,0.55,0.58,0.56,0.54,0.51,0.47,0.45,0.48,0.53,0.6,0.69,0.8,0.92,1.07,1.25,1.44,1.65,1.87,2.1,2.32,2.54,2.75,2.96,3.17,3.39,3.62,3.88,4.17,4.46,4.76,5.03,5.27,5.47,5.39,5.07,4.54,3.86,3.1,2.34,1.67,1.14,0.6,0.07,0,0,0,0,0,0,0,0,0,0
0.513,0.51,0.515,45.17,23.86,33.09,2.54,84.55,159.42,0,0,0,0.01,0.02,0.04,0.08,0.14,0.22,0.32,0.43,0.52,0.55,0.53,0.51,0.48,0.44,0.42,0.45,0.5,0.56,0.65,0.76,0.87,1.02,1.18,1.36,1.56,1.77,1.98,2.19,2.38,2.58,2.76,2.95,3.14,3.35,3.59,3.85,4.14,4.44,4.73,4.99,5.2,5.37,5.22,4.87,4.33,3.67,2.96,2.27,1.65,1.16,0.66,0.16,0,0,0,0,0,0,0,0,0
0.523,0.52,0.525,45.6,24.99,35.01,2.54,90.24,180.93,0,0,0,0.01,0.02,0.04,0.08,0.13,0.21,0.31,0.42,0.5,0.52,0.51,0.48,0.45,0.41,0.4,0.42,0.46,0.53,0.61,0.71,0.83,0.97,1.14,1.32,1.52,1.74,1.95,2.16,2.36,2.54,2.72,2.9,3.08,3.27,3.5,3.76,4.04,4.34,4.64,4.9,5.13,5.32,5.21,4.89,4.4,3.79,3.11,2.43,1.82,1.32,0.93,0.55,0.16,0,0,0,0,0,0,0,0
0.533,0.53,0.535,50.94,26.07,35.97,2.54,91.78,171.54,0,0,0,0.01,0.02,0.04,0.07,0.13,0.2,0.3,0.41,0.49,0.51,0.5,0.47,0.45,0.41,0.39,0.42,0.46,0.52,0.6,0.7,0.81,0.95,1.11,1.29,1.48,1.69,1.9,2.1,2.29,2.47,2.64,2.81,2.98,3.18,3.41,3.67,3.98,4.3,4.62,4.92,5.14,5.3,5.39,5.1,4.63,4.01,3.32,2.63,1.99,1.46,0.93,0.4,0,0,0,0,0,0,0,0,0
0.543,0.54,0.545,58.66,29.1,42.55,2.65,112.75,219.51,0,0,0,0.01,0.02,0.04,0.07,0.12,0.19,0.28,0.37,0.44,0.46,0.45,0.43,0.4,0.37,0.36,0.39,0.43,0.49,0.57,0.66,0.77,0.9,1.06,1.23,1.42,1.63,1.83,2.02,2.21,2.38,2.54,2.69,2.83,3,3.18,3.39,3.64,3.91,4.19,4.46,4.68,4.84,4.93,4.97,4.72,4.33,3.84,3.28,2.7,2.15,1.67,1.18,0.7,0.22,0,0,0,0,0,0,0
