COU,Country,VAR,Variable,Landuse
DJI,Djibouti,For,Forest % land area,0.246
DJI,Djibouti,Mea,Meadows and pastures % land area,73.339
DJI,Djibouti,Oth,Other % land area,26.329
DMA,Dominica,Ara,Arable and cropland % land area,30.667
DMA,Dominica,For,Forest % land area,63.827
DMA,Dominica,Mea,Meadows and pastures % land area,2.667
DMA,Dominica,Oth,Other % land area,2.84
DNK,Denmark,Ara,Arable and cropland % land area,60.483
DNK,Denmark,For,Forest % land area,15.688
DNK,Denmark,Mea,Meadows and pastures % land area,5.175
DNK,Denmark,Oth,Other % land area,18.653
DOM,Dominican Republic,Ara,Arable and cropland % land area,25.502
DOM,Dominican Republic,For,Forest % land area,44.215
DOM,Dominican Republic,Mea,Meadows and pastures % land area,24.777
DOM,Dominican Republic,Oth,Other % land area,5.506
DZA,Algeria,Ara,Arable and cropland % land area,3.576
DZA,Algeria,For,Forest % land area,0.814
DZA,Algeria,Mea,Meadows and pastures % land area,13.789
DZA,Algeria,Oth,Other % land area,81.821
ECU,Ecuador,Ara,Arable and cropland % land area,9.78
ECU,Ecuador,For,Forest % land area,50.58
ECU,Ecuador,Mea,Meadows and pastures % land area,11.681
ECU,Ecuador,Oth,Other % land area,27.959
EGY,Egypt,Ara,Arable and cropland % land area,3.854
EGY,Egypt,For,Forest % land area,0.045
EGY,Egypt,Oth,Other % land area,96.101
ERI,Eritrea,Ara,Arable and cropland % land area,5.711
ERI,Eritrea,For,Forest % land area,8.734
ERI,Eritrea,Mea,Meadows and pastures % land area,56.941
ERI,Eritrea,Oth,Other % land area,28.614
ESP,Spain,Ara,Arable and cropland % land area,33.548
ESP,Spain,For,Forest % land area,37.168
ESP,Spain,Mea,Meadows and pastures % land area,18.91
ESP,Spain,Oth,Other % land area,10.374
EST,Estonia,Ara,Arable and cropland % land area,16.029
EST,Estonia,For,Forest % land area,56.094
EST,Estonia,Mea,Meadows and pastures % land area,6.71
EST,Estonia,Oth,Other % land area,21.169
