"Code","Group","Sample.ID","Type","Easting","Northing","Longitude","Latitude","Location","Depth_min","Depth_max","pH","EC","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"CVR_8_2",8,"2","Soil",391361,6466544,115.8507212,-31.93183054,"Charles Veryard Reserve (CVR)",0,0.1,7.51,110,2896,2.37,10.39,11994,0.05,3.14,8.68,4.49,2174,0.36,81.1,1.2,653.07,10.33,0.15,147.5,0.05,0.93,126.9,33.93,193.16,80.66,1.32,5.67,1.27,23.47
"SLR_8_3",8,"3","Soil",391382,6466515,115.8509401,-31.93209413,"Smith's Lake Reserve (SLR)",0,0.1,6.97,34.2,3127,4.69,15.58,1182,0.15,4.48,9.67,14.43,3816,0.42,109.3,1.79,262.37,28.44,0.32,68.3,1.37,3.46,182,73.7,186.58,16.54,0.6,7.48,1.4,158.47
"CVR_8_4",8,"4","Soil",391412,6466551,115.8512614,-31.93177228,"Charles Veryard Reserve (CVR)",0,0.1,7.84,110.3,3540,2.89,18.7,5768,0.08,4.43,9.59,12.92,3525,0.63,105.6,1.71,350.16,16.03,0.22,83.6,0.95,2.95,172.6,47.21,201.3,25.65,1.05,7.43,1.3,62.91
"SLR_8_5",8,"5","Soil",391323,6466483,115.8503124,-31.93237713,"Smith's Lake Reserve (SLR)",0,0.1,6.83,29.1,1010,0.9,6.42,1101,0.1,2.87,2.14,2.83,1205,0.29,67,1.5,139.86,11.5,0.07,27.8,0.91,1.66,48.2,13.76,92.47,5.86,NA,2.32,0.44,23.38
"SLR_8_6",8,"6","Soil",391323,6466464,115.8503103,-31.93254851,"Smith's Lake Reserve (SLR)",0,0.1,7.65,153.6,3852,5.14,22.45,17934,0.15,3.71,12.38,10.89,4509,0.43,158.8,2.34,699.16,42.1,0.27,170.8,0.41,2.32,420.4,52.51,375.28,103.06,1.06,10.09,1.67,96.5
"SLR_9_29.1",9,"29.1","Soil",391398.6,6466473,115.8511109,-31.93247456,"Smith's Lake Reserve (SLR)",0,0.1,6.11,NA,742,1.76,8.66,553,NA,3.33,2.11,4.36,1683,0.29,82.5,1.51,59.86,3.96,0.13,57.6,1.62,0.48,83.5,7.27,346.53,3.67,0.93,2.37,1.2,9.77
"SLR_9_30.1",9,"30.1","Soil",391302.1,6466411,115.8500833,-31.93302457,"Smith's Lake Reserve (SLR)",0,0.1,7.28,NA,396,1.46,27.48,283,NA,1.44,1.17,2.94,1270,NA,41.1,0.75,57.34,2.68,0.08,44.9,0.88,0.38,18.5,7.2,1292.76,2.4,0.51,1.28,0.59,15.92
"SLR_9_30.2",9,"30.2","Soil",391315,6466432,115.8502221,-31.93283639,"Smith's Lake Reserve (SLR)",0,0.1,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_9_31.1",9,"31.1","Soil",391378.4,6466402,115.8508893,-31.93311306,"Smith's Lake Reserve (SLR)",0,0.1,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_9_31.2",9,"31.2","Soil",391365.3,6466399,115.8507504,-31.93313886,"Smith's Lake Reserve (SLR)",0,0.1,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_9_32.1",9,"32.1","Soil",391402.1,6466393,115.851139,-31.93319651,"Smith's Lake Reserve (SLR)",0,0.1,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_9_32.2",9,"32.2","Soil",391399.1,6466430,115.8511114,-31.93286248,"Smith's Lake Reserve (SLR)",0,0.1,6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_1",NA,"","Sediment",391380,6466442,115.8509107,-31.93275241,"Smith's Lake Reserve (SLR)",0,0.1,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_2",NA,"","Sediment",391384,6466409,115.8509493,-31.93305045,"Smith's Lake Reserve (SLR)",0,0.1,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLR_10_33.1",10,"33.1","Soil",391305,6466411,115.8501139,-31.93302485,"Smith's Lake Reserve (SLR)",0,0.1,6.86,75.4,1807,3.13,25.5,1519,0.19,2.31,4.27,10.58,2477,0.29,112.5,1.3,207.83,51.35,0.28,77.9,0.4,3.19,146.7,48.2,188.58,8.38,0.63,3.96,0.79,65.78
"SLR_10_34.1",10,"34.1","Soil",391359,6466365,115.85068,-31.93344494,"Smith's Lake Reserve (SLR)",0,0.1,7.46,41.2,4109,2.56,6.37,1336,NA,9.14,8.12,3.52,2952,0.53,112.3,2.64,128.21,42.52,0.35,69.7,2.49,3.46,224.3,3.88,102.79,7.56,1.71,7.35,1.35,8.58
"SLR_10_34.2",10,"34.2","Soil",391352,6466375,115.850607,-31.93335407,"Smith's Lake Reserve (SLR)",0,0.1,7.56,90.6,2433,3.26,19.99,30472,0.17,2.5,8.45,21.9,3539,0.43,117.2,1.56,1471.33,26.38,0.27,244.7,NA,8.07,296.2,39.47,387.19,186.17,1.64,6.55,1.09,164.01
